ReturnID,OrderID,ProductID,ReturnDate,ReturnQty,ReturnReason,RefundAmount
RET000038,ORD000658,P0030,2026-05-29,1,Quality issue,33.09
RET000039,ORD001086,P0082,2026-05-23,1,Late delivery,22.58
RET000040,ORD000408,P0055,2026-05-02,1,Customer changed mind,91.5
RET000041,ORD000197,P0006,2026-05-05,2,Size issue,161.61
RET000042,ORD000959,P0029,2026-05-23,2,Wrong item received,290.29
RET000043,ORD000446,P0094,2026-05-04,2,Refund requested,290.49
RET000044,ORD001097,P0055,2026-05-15,1,Size issue,206.56
RET000045,ORD001122,P0062,2026-05-17,4,Late delivery,371.38
RET000046,ORD000994,P0010,2026-05-27,3,Customer changed mind,89.68
RET000047,ORD001014,P0061,2026-05-07,3,Wrong item received,66.65
RET000048,ORD001126,P0034,2026-05-02,1,Wrong item received,187.09
RET000049,ORD000972,P0091,2026-05-18,3,Quality issue,67.56
RET000050,ORD000685,P0061,2026-05-01,4,Refund requested,71.12
RET000051,ORD001094,P0049,2026-05-28,1,Size issue,148.89
RET000052,ORD000893,P0044,2026-05-18,2,Customer changed mind,248.98
RET000053,ORD001163,P0088,2026-05-21,2,Refund requested,239.92
RET000054,ORD000261,P0022,2026-05-29,4,Size issue,168.51
RET000055,ORD000203,P0024,2026-05-19,1,Refund requested,42.55
RET000056,ORD000012,P0098,2026-05-29,2,Customer changed mind,216.11
RET000057,ORD000456,P0081,2026-05-01,4,Size issue,135.38
RET000058,ORD000818,P0034,2026-05-01,1,Size issue,112.88
RET000059,ORD000339,P0088,2026-05-19,2,Late delivery,224.81
RET000060,ORD000413,P0017,2026-05-11,3,Refund requested,242.45
RET000061,ORD000269,P0026,2026-05-30,1,Damaged product,85.94
RET000062,ORD000331,P0091,2026-05-13,1,Customer changed mind,28.55
RET000063,ORD000614,P0062,2026-05-30,1,Size issue,371.4
RET000064,ORD000466,P0011,2026-05-03,1,Damaged product,21.33
RET000065,ORD000469,P0003,2026-05-19,3,Refund requested,113.97
RET000066,ORD000046,P0055,2026-05-04,3,Quality issue,219.77
RET000067,ORD000282,P0084,2026-05-19,2,Quality issue,159.41
RET000068,ORD001102,P0028,2026-05-06,2,Size issue,194.37
RET000069,ORD001051,P0005,2026-05-27,3,Quality issue,359.6
RET000070,ORD001010,P0011,2026-05-14,3,Wrong item received,64.19
RET000071,ORD001050,P0042,2026-05-09,3,Size issue,86.43
RET000072,ORD000566,P0084,2026-05-10,1,Late delivery,92.78
RET000073,ORD000302,P0054,2026-05-10,1,Quality issue,260.42
RET000074,ORD001070,P0078,2026-05-08,1,Refund requested,111.16
RET000075,ORD001066,P0092,2026-05-19,3,Refund requested,387.73
RET000076,ORD000567,P0006,2026-05-14,1,Damaged product,173.07
RET000077,ORD001101,P0013,2026-05-19,1,Quality issue,46.65
RET000078,ORD000251,P0040,2026-05-26,3,Customer changed mind,41.15
RET000079,ORD000080,P0099,2026-05-16,1,Wrong item received,107.51
RET000080,ORD000497,P0014,2026-05-19,1,Late delivery,30.33
RET000081,ORD000473,P0053,2026-05-15,1,Quality issue,121.88
RET000082,ORD001074,P0078,2026-05-16,2,Refund requested,243.32
RET000083,ORD000229,P0021,2026-05-29,1,Size issue,156.3
RET000084,ORD000103,P0086,2026-05-04,1,Wrong item received,28.0
RET000085,ORD000072,P0006,2026-05-03,2,Customer changed mind,210.19
RET000086,ORD000570,P0018,2026-05-01,1,Refund requested,451.95
RET000087,ORD000645,P0030,2026-05-20,1,Refund requested,39.78
RET000088,ORD000920,P0011,2026-05-07,1,Refund requested,12.45
RET000089,ORD000269,P0070,2026-05-17,1,Quality issue,53.54
RET000090,ORD000387,P0100,2026-05-05,2,Customer changed mind,105.06
RET000091,ORD000734,P0028,2026-05-03,3,Late delivery,348.6
RET000092,ORD001017,P0092,2026-05-27,2,Refund requested,136.14
RET000093,ORD000681,P0062,2026-05-16,1,Refund requested,100.95
RET000094,ORD000181,P0014,2026-05-25,1,Customer changed mind,15.35
RET000095,ORD000831,P0081,2026-05-06,1,Quality issue,103.3
RET000096,ORD000833,P0081,2026-05-12,2,Refund requested,147.18
RET000097,ORD000328,P0034,2026-05-18,2,Late delivery,184.28
RET000098,ORD000405,P0055,2026-05-17,1,Late delivery,60.16
RET000099,ORD000623,P0082,2026-05-20,2,Wrong item received,52.66
RET000100,ORD000372,P0013,2026-05-14,3,Customer changed mind,216.77
RET000101,ORD000094,P0093,2026-05-29,1,Refund requested,40.05
RET000102,ORD000162,P0094,2026-05-28,1,Size issue,422.12
RET000103,ORD001087,P0041,2026-05-28,2,Damaged product,76.07
RET000104,ORD000740,P0086,2026-05-03,1,Refund requested,16.97
RET000105,ORD000733,P0012,2026-05-14,1,Wrong item received,68.43
RET000106,ORD000165,P0050,2026-05-16,2,Refund requested,138.39
RET000107,ORD001115,P0048,2026-05-24,1,Customer changed mind,123.85
RET000108,ORD000186,P0044,2026-05-05,1,Late delivery,101.36
RET000109,ORD000134,P0050,2026-05-20,3,Quality issue,133.0
RET000110,ORD001002,P0083,2026-05-17,4,Wrong item received,98.71
RET000111,ORD000283,P0016,2026-05-11,1,Damaged product,306.49
RET000112,ORD000994,P0079,2026-05-13,4,Wrong item received,539.23
RET000113,ORD001160,P0013,2026-05-18,2,Late delivery,145.7
RET000114,ORD000448,P0092,2026-05-25,1,Customer changed mind,250.74
RET000115,ORD000548,P0046,2026-05-22,1,Late delivery,290.05
RET000116,ORD000960,P0032,2026-05-22,3,Size issue,144.95
RET000117,ORD000758,P0099,2026-05-28,1,Refund requested,85.42
RET000118,ORD000637,P0015,2026-05-06,1,Customer changed mind,296.8
RET000119,ORD000057,P0020,2026-05-04,2,Damaged product,409.49
RET000120,ORD000608,P0061,2026-05-15,3,Refund requested,54.21
RET000121,ORD000529,P0099,2026-05-19,3,Size issue,427.09
RET000122,ORD000178,P0022,2026-05-24,1,Damaged product,197.47
RET000123,ORD000532,P0073,2026-05-25,1,Damaged product,361.02
RET000124,ORD000071,P0077,2026-05-06,3,Wrong item received,270.13
RET000125,ORD000826,P0011,2026-05-24,1,Refund requested,35.76
RET000126,ORD000123,P0080,2026-05-03,1,Wrong item received,124.55
RET000127,ORD000931,P0049,2026-05-29,1,Refund requested,224.17
RET000128,ORD000860,P0025,2026-05-30,3,Late delivery,284.33
RET000129,ORD000855,P0046,2026-05-06,1,Quality issue,74.04
RET000130,ORD000094,P0093,2026-05-12,2,Wrong item received,52.75
RET000131,ORD000375,P0009,2026-05-15,1,Size issue,34.81
RET000132,ORD001163,P0088,2026-05-30,1,Quality issue,233.72
RET000133,ORD000855,P0002,2026-05-11,1,Customer changed mind,17.34
RET000134,ORD001037,P0015,2026-05-25,1,Refund requested,115.51
RET000135,ORD001070,P0078,2026-05-10,1,Wrong item received,109.33
RET000136,ORD000321,P0092,2026-05-17,1,Quality issue,97.86
RET000137,ORD000923,P0039,2026-05-21,1,Quality issue,223.72
RET000138,ORD000840,P0013,2026-05-05,1,Quality issue,116.85
RET000139,ORD000603,P0045,2026-05-17,1,Refund requested,92.69
RET000140,ORD000992,P0012,2026-05-25,1,Size issue,103.5
RET000141,ORD001098,P0064,2026-05-12,2,Late delivery,291.1
RET000142,ORD000431,P0016,2026-05-30,1,Customer changed mind,184.38
RET000143,ORD000735,P0098,2026-05-18,1,Size issue,132.95
RET000144,ORD000563,P0087,2026-05-20,1,Size issue,298.69
RET000145,ORD000861,P0069,2026-05-29,2,Wrong item received,301.28
RET000146,ORD000342,P0088,2026-05-17,1,Size issue,434.1
RET000147,ORD001115,P0048,2026-05-12,3,Late delivery,111.69
RET000148,ORD000196,P0051,2026-05-10,2,Damaged product,134.88
RET000149,ORD000787,P0057,2026-05-14,1,Damaged product,99.49
RET000150,ORD000242,P0091,2026-05-23,2,Late delivery,148.66
RET000151,ORD000857,P0076,2026-05-15,1,Size issue,157.2
RET000152,ORD000432,P0002,2026-05-30,1,Refund requested,54.73
RET000153,ORD000783,P0057,2026-05-25,1,Customer changed mind,94.76
RET000154,ORD000995,P0021,2026-05-15,3,Refund requested,346.52
RET000155,ORD000106,P0030,2026-05-05,1,Customer changed mind,28.14
RET000156,ORD000517,P0050,2026-05-21,1,Customer changed mind,46.22
RET000157,ORD001163,P0088,2026-05-09,1,Size issue,249.42
RET000158,ORD000825,P0094,2026-05-26,1,Late delivery,381.61
RET000159,ORD000320,P0030,2026-05-16,1,Customer changed mind,60.83
RET000160,ORD000497,P0014,2026-05-08,2,Refund requested,26.74
RET000161,ORD000306,P0047,2026-05-08,3,Customer changed mind,409.06
RET000162,ORD000880,P0078,2026-05-12,2,Late delivery,347.93
RET000163,ORD000486,P0036,2026-05-08,2,Wrong item received,24.11
RET000164,ORD001117,P0001,2026-05-02,1,Refund requested,253.78
RET000165,ORD000140,P0034,2026-05-13,3,Refund requested,399.03
RET000166,ORD000966,P0081,2026-05-09,2,Customer changed mind,114.24
RET000167,ORD000626,P0075,2026-05-23,4,Size issue,359.7
RET000168,ORD000600,P0096,2026-05-06,1,Late delivery,37.07
RET000169,ORD000270,P0073,2026-05-06,2,Size issue,302.05
RET000170,ORD000590,P0067,2026-05-23,1,Customer changed mind,16.75
RET000171,ORD000161,P0060,2026-05-30,1,Size issue,41.16
RET000172,ORD000133,P0077,2026-05-19,1,Late delivery,219.19
RET000173,ORD001070,P0078,2026-05-24,1,Wrong item received,87.02
RET000174,ORD000363,P0070,2026-05-16,1,Damaged product,47.76
RET000175,ORD000781,P0083,2026-05-13,1,Refund requested,58.6
RET000176,ORD000731,P0017,2026-05-01,1,Size issue,48.5
RET000177,ORD000871,P0005,2026-05-13,1,Late delivery,106.41
RET000178,ORD000260,P0066,2026-05-07,1,Damaged product,112.96
RET000179,ORD001095,P0068,2026-05-22,1,Customer changed mind,159.18
RET000180,ORD000261,P0022,2026-05-02,1,Wrong item received,271.34
RET000181,ORD000718,P0020,2026-05-08,1,Quality issue,103.95
RET000182,ORD000666,P0054,2026-05-28,1,Quality issue,82.19
RET000183,ORD000231,P0039,2026-05-26,2,Refund requested,249.19
RET000184,ORD000820,P0095,2026-05-26,2,Size issue,65.56
RET000185,ORD000332,P0004,2026-05-02,3,Customer changed mind,657.17
RET000186,ORD001168,P0093,2026-05-11,1,Size issue,15.16
RET000187,ORD000826,P0064,2026-05-19,1,Damaged product,108.49
RET000188,ORD000099,P0075,2026-05-12,1,Late delivery,208.28
RET000189,ORD000779,P0004,2026-05-14,4,Wrong item received,408.08
RET000190,ORD000098,P0018,2026-05-08,3,Wrong item received,350.85
RET000191,ORD001083,P0007,2026-05-20,1,Damaged product,65.11
RET000192,ORD000706,P0013,2026-05-02,2,Size issue,279.03
RET000193,ORD000174,P0056,2026-05-19,2,Size issue,77.96
RET000194,ORD000581,P0094,2026-05-21,2,Size issue,303.42
RET000195,ORD001167,P0074,2026-05-15,2,Refund requested,333.51
RET000196,ORD000875,P0015,2026-05-17,2,Size issue,170.97
RET000197,ORD000295,P0038,2026-05-30,1,Damaged product,20.53
RET000198,ORD000220,P0037,2026-05-06,2,Wrong item received,161.89
RET000199,ORD000829,P0014,2026-05-23,2,Customer changed mind,20.43
RET000200,ORD000756,P0020,2026-05-22,1,Refund requested,165.16
RET000201,ORD000982,P0045,2026-05-20,3,Quality issue,202.76
RET000202,ORD000065,P0057,2026-05-23,1,Refund requested,77.54
RET000203,ORD000694,P0026,2026-05-26,1,Customer changed mind,44.55
RET000204,ORD000728,P0053,2026-05-13,2,Size issue,505.32
RET000205,ORD000241,P0094,2026-05-04,2,Damaged product,740.84
RET000206,ORD000286,P0005,2026-05-28,4,Quality issue,301.14
RET000207,ORD000841,P0001,2026-05-15,2,Quality issue,272.12
RET000208,ORD000919,P0013,2026-05-15,2,Wrong item received,103.39
RET000209,ORD001144,P0090,2026-05-30,1,Quality issue,280.44
RET000210,ORD000976,P0021,2026-05-12,1,Customer changed mind,295.0
RET000211,ORD000595,P0031,2026-05-12,2,Wrong item received,93.68
RET000212,ORD000585,P0090,2026-05-29,1,Size issue,88.04
RET000213,ORD000119,P0094,2026-05-12,1,Late delivery,461.0
RET000214,ORD000012,P0098,2026-05-07,2,Customer changed mind,323.7
RET000215,ORD000505,P0069,2026-05-03,2,Wrong item received,204.87
RET000216,ORD001180,P0091,2026-05-27,4,Customer changed mind,147.0
RET000217,ORD000922,P0083,2026-05-13,3,Size issue,69.27
RET000218,ORD000497,P0004,2026-05-11,1,Customer changed mind,90.12
RET000219,ORD000079,P0039,2026-05-03,2,Late delivery,556.37
RET000220,ORD000474,P0062,2026-05-09,2,Refund requested,380.63
RET000221,ORD000241,P0013,2026-05-18,3,Damaged product,113.44
RET000222,ORD000141,P0044,2026-05-24,1,Quality issue,260.59
RET000223,ORD001044,P0052,2026-05-07,1,Wrong item received,65.43
RET000224,ORD000533,P0053,2026-05-24,4,Damaged product,502.51
RET000225,ORD000858,P0070,2026-05-06,1,Damaged product,42.01
RET000226,ORD000524,P0072,2026-05-01,2,Quality issue,61.07
RET000227,ORD000784,P0006,2026-05-15,1,Customer changed mind,180.91
RET000228,ORD001088,P0078,2026-05-10,1,Quality issue,110.96
RET000229,ORD000950,P0091,2026-05-26,1,Damaged product,90.17
RET000230,ORD000087,P0023,2026-05-01,1,Refund requested,296.56
RET000231,ORD000246,P0023,2026-05-21,2,Late delivery,361.31
RET000232,ORD000552,P0075,2026-05-01,4,Size issue,442.51
RET000233,ORD001088,P0078,2026-05-04,1,Wrong item received,108.27
RET000234,ORD001035,P0016,2026-05-29,1,Refund requested,266.4
RET000235,ORD000845,P0093,2026-05-06,2,Refund requested,66.17
RET000236,ORD000241,P0013,2026-05-19,2,Size issue,203.36
RET000237,ORD000566,P0004,2026-05-22,2,Customer changed mind,294.36
RET000238,ORD000833,P0042,2026-05-23,3,Wrong item received,67.49
RET000239,ORD000747,P0040,2026-05-27,1,Quality issue,21.12
RET000240,ORD001064,P0032,2026-05-21,1,Damaged product,189.74
RET000241,ORD001179,P0040,2026-05-03,3,Damaged product,56.95
RET000242,ORD000435,P0066,2026-05-14,1,Late delivery,306.44
RET000243,ORD000098,P0004,2026-05-08,1,Refund requested,324.43
RET000244,ORD000792,P0005,2026-05-28,1,Quality issue,287.22
RET000245,ORD000685,P0061,2026-05-30,1,Customer changed mind,61.3
RET000246,ORD000035,P0043,2026-05-01,1,Customer changed mind,64.84
RET000247,ORD000747,P0040,2026-05-23,1,Quality issue,21.04
RET000248,ORD000672,P0009,2026-05-06,2,Customer changed mind,122.3
RET000249,ORD000388,P0073,2026-05-30,1,Late delivery,149.58
RET000250,ORD000565,P0048,2026-05-05,2,Size issue,68.1
RET000251,ORD000106,P0044,2026-05-29,2,Quality issue,241.11
RET000252,ORD000028,P0092,2026-05-17,2,Size issue,349.03
RET000253,ORD000317,P0085,2026-05-30,1,Refund requested,39.67
RET000254,ORD000435,P0003,2026-05-26,1,Size issue,33.1
RET000255,ORD000146,P0060,2026-05-21,1,Refund requested,141.26
RET000256,ORD001030,P0096,2026-05-11,1,Quality issue,114.7
RET000257,ORD000927,P0045,2026-05-06,1,Quality issue,32.22
RET000258,ORD000220,P0056,2026-05-05,3,Quality issue,174.46
RET000259,ORD000904,P0084,2026-05-24,1,Wrong item received,76.05
RET000260,ORD000148,P0044,2026-05-11,3,Wrong item received,240.82
RET000261,ORD000077,P0077,2026-05-06,1,Damaged product,203.82
RET000262,ORD000067,P0077,2026-05-14,2,Damaged product,126.85
RET000263,ORD000734,P0057,2026-05-27,2,Damaged product,218.97
RET000264,ORD000063,P0035,2026-05-10,3,Refund requested,150.13
RET000265,ORD000073,P0090,2026-05-30,1,Quality issue,79.96
RET000266,ORD000962,P0015,2026-05-13,1,Quality issue,57.66
RET000267,ORD000366,P0088,2026-05-17,1,Wrong item received,218.39
RET000268,ORD000231,P0039,2026-05-26,2,Late delivery,175.73
RET000269,ORD000056,P0022,2026-05-10,2,Late delivery,180.64
RET000270,ORD000003,P0020,2026-05-16,2,Refund requested,395.34
RET000271,ORD001123,P0046,2026-05-17,1,Refund requested,61.18
RET000272,ORD000070,P0033,2026-05-14,2,Wrong item received,302.88
RET000273,ORD000896,P0096,2026-05-11,2,Customer changed mind,177.33
RET000274,ORD000883,P0040,2026-05-01,1,Quality issue,43.76
RET000275,ORD000309,P0019,2026-05-17,2,Damaged product,286.07
RET000276,ORD000358,P0094,2026-05-10,3,Size issue,340.17
RET000277,ORD000528,P0002,2026-05-11,1,Quality issue,24.06
RET000278,ORD000090,P0028,2026-05-08,1,Size issue,280.23
RET000279,ORD000403,P0100,2026-05-30,2,Size issue,175.22
RET000280,ORD000546,P0078,2026-05-21,1,Customer changed mind,310.35
RET000281,ORD000297,P0051,2026-05-20,1,Late delivery,358.68
RET000282,ORD000741,P0077,2026-05-11,1,Refund requested,109.08
RET000283,ORD000963,P0073,2026-05-17,2,Wrong item received,348.66
RET000284,ORD000827,P0046,2026-05-22,4,Quality issue,216.69
RET000285,ORD000913,P0073,2026-05-03,3,Refund requested,454.49
RET000286,ORD001169,P0030,2026-05-28,3,Refund requested,55.49
RET000287,ORD000751,P0001,2026-05-09,3,Late delivery,534.51
RET000288,ORD000556,P0060,2026-05-19,1,Customer changed mind,203.41
RET000289,ORD001106,P0083,2026-05-14,1,Late delivery,45.76
RET000290,ORD001051,P0005,2026-05-08,1,Damaged product,358.35
RET000291,ORD000122,P0080,2026-05-06,1,Late delivery,70.57
RET000292,ORD000033,P0098,2026-05-19,3,Wrong item received,404.7
RET000293,ORD000909,P0063,2026-05-22,3,Customer changed mind,486.34
RET000294,ORD000525,P0099,2026-05-05,1,Quality issue,114.68
RET000295,ORD000403,P0079,2026-05-04,1,Size issue,167.92
RET000296,ORD000758,P0096,2026-05-10,1,Size issue,52.87
RET000297,ORD000432,P0046,2026-05-29,3,Refund requested,226.26
RET000298,ORD000352,P0046,2026-05-23,3,Size issue,287.87
RET000299,ORD000075,P0074,2026-05-11,1,Damaged product,99.4
RET000300,ORD000342,P0088,2026-05-11,1,Size issue,267.69
RET_BAD_001,ORD999999,P9999,2026-07-01,-1,,-100
