TicketID,CustomerID,OrderID,TicketDate,IssueCategory,TicketText,Priority,Status,ResolutionTimeHours
TIC000029,CUST000388,ORD000967,2026-05-24 16:55:57,Login Issue,I cannot login to my account.,Low,In Progress,
TIC000030,CUST000173,ORD000920,2026-05-19 14:09:07,Login Issue,I cannot login to my account.,Medium,Open,2
TIC000031,CUST000038,ORD000450,2026-05-17 06:26:12,Payment Issue,Payment failed during checkout.,Medium,Closed,12
TIC000032,CUST000226,ORD000361,2026-05-04 07:43:13,Wrong Item,The color and size are different from what I ordered.,Medium,Closed,8
TIC000033,CUST000017,ORD000651,2026-05-05 19:23:27,Refund Issue,Refund amount is incorrect.,High,Open,
TIC000034,CUST000131,ORD000668,2026-05-30 23:37:15,Delivery Issue,Tracking shows delivered but I did not receive the parcel.,Medium,Resolved,72
TIC000035,CUST000011,ORD001067,2026-05-04 17:24:54,Refund Issue,Refund amount is incorrect.,Medium,In Progress,24
TIC000036,CUST000084,ORD000406,2026-05-22 00:35:29,Payment Issue,Payment failed during checkout.,Low,In Progress,2
TIC000037,CUST000130,ORD001144,2026-05-20 11:45:53,Refund Issue,Refund amount is incorrect.,High,Resolved,4
TIC000038,CUST000016,ORD000223,2026-05-19 05:28:45,Delivery Issue,Carrier has not updated shipment status.,Low,Closed,
TIC000039,CUST000279,ORD000169,2026-05-25 13:43:20,Wrong Item,I received the wrong item.,Medium,In Progress,8
TIC000040,CUST000474,ORD001183,2026-05-28 07:07:05,Refund Issue,Refund amount is incorrect.,Medium,Open,4
TIC000041,CUST000094,ORD000847,2026-05-20 10:53:20,Wrong Item,I received the wrong item.,Low,Resolved,
TIC000042,CUST000444,ORD000542,2026-05-29 02:44:44,Wrong Item,The color and size are different from what I ordered.,Low,Resolved,2
TIC000043,CUST000033,ORD000122,2026-05-23 05:11:09,Login Issue,Password reset email is not arriving.,High,Open,
TIC000044,CUST000441,ORD000690,2026-05-25 07:15:31,Delivery Issue,Carrier has not updated shipment status.,Medium,Resolved,24
TIC000045,CUST000391,ORD000750,2026-05-13 11:32:34,Payment Issue,My card was charged but order was not created.,High,Resolved,2
TIC000046,CUST000073,ORD000681,2026-05-24 20:30:26,Payment Issue,My card was charged but order was not created.,High,Open,24
TIC000047,CUST000043,ORD000759,2026-05-28 03:09:29,Login Issue,I cannot login to my account.,Critical,In Progress,4
TIC000048,CUST000416,ORD000147,2026-05-07 13:33:30,Payment Issue,Payment failed during checkout.,Medium,Closed,72
TIC000049,CUST000361,ORD000579,2026-05-01 08:18:43,Product Quality Issue,The stitching came loose after first use.,Critical,Closed,
TIC000050,CUST000094,ORD001114,2026-05-27 06:04:28,Delivery Issue,Carrier has not updated shipment status.,Critical,In Progress,8
TIC000051,CUST000353,ORD000946,2026-05-05 20:46:44,Delivery Issue,Carrier has not updated shipment status.,Critical,In Progress,12
TIC000052,CUST000124,ORD000615,2026-05-14 02:23:06,Wrong Item,The product code does not match my order.,Critical,In Progress,48
TIC000053,CUST000236,ORD000048,2026-05-18 20:55:22,Wrong Item,The product code does not match my order.,Critical,In Progress,12
TIC000054,CUST000227,ORD000448,2026-05-21 02:01:31,Wrong Item,The color and size are different from what I ordered.,Medium,In Progress,4
TIC000055,CUST000481,ORD000324,2026-05-09 12:16:03,Payment Issue,Payment gateway timed out.,High,Resolved,
TIC000056,CUST000370,ORD000036,2026-05-15 05:53:54,Refund Issue,I returned the item but refund is not processed.,Critical,Closed,24
TIC000057,CUST000209,ORD000858,2026-05-24 16:00:40,Refund Issue,Refund amount is incorrect.,Critical,Open,12
TIC000058,CUST000094,ORD000550,2026-05-02 18:17:07,Product Quality Issue,The stitching came loose after first use.,Critical,In Progress,24
TIC000059,CUST000170,ORD000228,2026-05-06 15:41:06,Product Quality Issue,The item quality is poor.,High,Open,12
TIC000060,CUST000164,ORD000745,2026-05-30 00:53:25,Login Issue,My account is locked after multiple attempts.,Medium,Open,24
TIC000061,CUST000177,ORD001100,2026-05-28 19:11:18,Delivery Issue,Tracking shows delivered but I did not receive the parcel.,High,Open,72
TIC000062,CUST000492,ORD000890,2026-05-26 02:12:53,Login Issue,I cannot login to my account.,High,Closed,24
TIC000063,CUST000337,ORD000663,2026-05-18 13:55:33,Refund Issue,Refund is delayed.,High,In Progress,8
TIC000064,CUST000192,ORD000133,2026-05-22 08:04:21,Wrong Item,The product code does not match my order.,High,Open,24
TIC000065,CUST000444,ORD001004,2026-05-24 15:07:36,Wrong Item,The color and size are different from what I ordered.,Low,Closed,24
TIC000066,CUST000017,ORD000827,2026-05-21 22:51:03,Payment Issue,Payment gateway timed out.,High,Resolved,24
TIC000067,CUST000205,ORD000709,2026-05-18 13:16:45,Wrong Item,The product code does not match my order.,Medium,Closed,2
TIC000068,CUST000238,ORD000580,2026-05-21 06:25:51,Login Issue,Password reset email is not arriving.,High,Open,24
TIC000069,CUST000270,ORD000435,2026-05-28 13:26:22,Wrong Item,The product code does not match my order.,Critical,In Progress,4
TIC000070,CUST000383,ORD000166,2026-05-07 21:17:20,Product Quality Issue,The stitching came loose after first use.,Critical,In Progress,2
TIC000071,CUST000415,ORD000646,2026-05-11 02:25:01,Payment Issue,Payment gateway timed out.,Medium,Closed,12
TIC000072,CUST000055,ORD000569,2026-05-22 14:15:53,Refund Issue,I returned the item but refund is not processed.,Low,Resolved,12
TIC000073,CUST000026,ORD001041,2026-05-09 08:31:36,Payment Issue,My card was charged but order was not created.,Low,In Progress,12
TIC000074,CUST000169,ORD000437,2026-05-16 18:54:23,Delivery Issue,Tracking shows delivered but I did not receive the parcel.,High,Resolved,2
TIC000075,CUST000033,ORD000446,2026-05-13 07:47:58,Wrong Item,The color and size are different from what I ordered.,Low,In Progress,8
TIC000076,CUST000055,ORD000875,2026-05-27 11:31:52,Product Quality Issue,The item quality is poor.,Low,Closed,
TIC000077,CUST000004,ORD000016,2026-05-16 21:51:57,Wrong Item,The color and size are different from what I ordered.,High,In Progress,24
TIC000078,CUST000056,ORD001137,2026-05-16 03:43:54,Payment Issue,Payment failed during checkout.,Medium,Closed,72
TIC000079,CUST000219,ORD000731,2026-05-11 11:29:33,Refund Issue,Refund is delayed.,High,Closed,8
TIC000080,CUST000147,ORD000035,2026-05-26 20:22:49,Refund Issue,I returned the item but refund is not processed.,Low,Closed,4
TIC000081,CUST000453,ORD001024,2026-05-26 09:09:40,Payment Issue,My card was charged but order was not created.,High,Resolved,48
TIC000082,CUST000191,ORD000118,2026-05-06 00:44:38,Payment Issue,My card was charged but order was not created.,Critical,Open,4
TIC000083,CUST000128,ORD000328,2026-05-09 20:20:29,Login Issue,My account is locked after multiple attempts.,Critical,In Progress,
TIC000084,CUST000101,ORD000023,2026-05-07 21:44:24,Product Quality Issue,The product arrived damaged.,Critical,Resolved,24
TIC000085,CUST000411,ORD000353,2026-05-26 22:04:09,Wrong Item,The color and size are different from what I ordered.,Medium,In Progress,72
TIC000086,CUST000450,ORD000636,2026-05-19 20:13:33,Wrong Item,The color and size are different from what I ordered.,Critical,In Progress,
TIC000087,CUST000493,ORD001051,2026-05-07 01:53:59,Delivery Issue,Tracking shows delivered but I did not receive the parcel.,Critical,Closed,72
TIC000088,CUST000357,ORD000375,2026-05-03 05:57:21,Wrong Item,I received the wrong item.,Medium,Resolved,12
TIC000089,CUST000156,ORD000199,2026-05-27 20:11:56,Wrong Item,The color and size are different from what I ordered.,Low,Open,48
TIC000090,CUST000222,ORD000248,2026-05-23 18:28:41,Delivery Issue,My order delivery is delayed.,Critical,Resolved,24
TIC000091,CUST000196,ORD000070,2026-05-06 10:40:54,Product Quality Issue,The item quality is poor.,Medium,Resolved,48
TIC000092,CUST000102,ORD000087,2026-05-19 16:12:43,Login Issue,My account is locked after multiple attempts.,Low,Resolved,2
TIC000093,CUST000439,ORD000876,2026-05-25 03:14:22,Wrong Item,The product code does not match my order.,High,Resolved,2
TIC000094,CUST000494,ORD000150,2026-05-03 09:27:53,Delivery Issue,Carrier has not updated shipment status.,High,Resolved,2
TIC000095,CUST000297,ORD000758,2026-05-08 01:40:38,Product Quality Issue,The product arrived damaged.,Critical,In Progress,2
TIC000096,CUST000265,ORD001080,2026-05-22 15:21:53,Delivery Issue,Carrier has not updated shipment status.,Medium,Open,48
TIC000097,CUST000170,ORD000476,2026-05-19 13:53:52,Wrong Item,I received the wrong item.,Low,Closed,8
TIC000098,CUST000141,ORD000559,2026-05-20 01:56:52,Payment Issue,My card was charged but order was not created.,Medium,Closed,
TIC000099,CUST000157,ORD000154,2026-05-30 11:17:02,Login Issue,My account is locked after multiple attempts.,High,Resolved,72
TIC000100,CUST000277,ORD000739,2026-05-14 08:24:08,Refund Issue,Refund amount is incorrect.,Low,Open,
TIC000101,CUST000236,ORD000909,2026-05-06 19:33:50,Wrong Item,The color and size are different from what I ordered.,Critical,Closed,8
TIC000102,CUST000141,ORD000559,2026-05-11 12:45:54,Payment Issue,My card was charged but order was not created.,Low,Closed,2
TIC000103,CUST000400,ORD000564,2026-05-14 20:04:16,Wrong Item,The product code does not match my order.,Medium,Resolved,12
TIC000104,CUST000039,ORD000394,2026-05-22 04:54:56,Delivery Issue,My order delivery is delayed.,Medium,Open,8
TIC000105,CUST000343,ORD000388,2026-05-26 22:27:28,Payment Issue,My card was charged but order was not created.,Critical,Open,12
TIC000106,CUST000406,ORD000632,2026-05-10 04:12:41,Wrong Item,The color and size are different from what I ordered.,Critical,Resolved,48
TIC000107,CUST000038,ORD000354,2026-05-07 13:02:42,Wrong Item,I received the wrong item.,High,Open,24
TIC000108,CUST000187,ORD000747,2026-05-23 05:05:33,Refund Issue,Refund amount is incorrect.,High,In Progress,72
TIC000109,CUST000249,ORD000539,2026-05-11 01:58:56,Refund Issue,Refund is delayed.,High,Closed,
TIC000110,CUST000315,ORD000002,2026-05-06 17:37:24,Refund Issue,Refund amount is incorrect.,Medium,Closed,12
TIC000111,CUST000191,ORD000431,2026-05-27 10:01:57,Payment Issue,Payment gateway timed out.,High,Open,
TIC000112,CUST000478,ORD000512,2026-05-18 21:51:49,Refund Issue,Refund is delayed.,Low,In Progress,12
TIC000113,CUST000327,ORD001044,2026-05-23 15:37:42,Refund Issue,Refund amount is incorrect.,Medium,Open,48
TIC000114,CUST000231,ORD000292,2026-05-01 09:30:20,Product Quality Issue,The product arrived damaged.,Critical,Open,72
TIC000115,CUST000131,ORD000841,2026-05-24 05:41:25,Login Issue,My account is locked after multiple attempts.,Critical,Resolved,2
TIC000116,CUST000014,ORD000765,2026-05-28 12:41:25,Product Quality Issue,The stitching came loose after first use.,Low,Closed,8
TIC000117,CUST000439,ORD000627,2026-05-26 02:10:08,Payment Issue,Payment gateway timed out.,Medium,Closed,4
TIC000118,CUST000378,ORD000708,2026-05-10 09:41:00,Wrong Item,The color and size are different from what I ordered.,Medium,Closed,72
TIC000119,CUST000383,ORD000166,2026-05-03 22:55:08,Product Quality Issue,The stitching came loose after first use.,Critical,Resolved,48
TIC000120,CUST000400,ORD000564,2026-05-21 10:04:37,Delivery Issue,Tracking shows delivered but I did not receive the parcel.,High,Resolved,24
TIC000121,CUST000369,ORD000433,2026-05-12 11:33:50,Login Issue,My account is locked after multiple attempts.,Low,Open,24
TIC000122,CUST000326,ORD000638,2026-05-13 23:59:08,Payment Issue,Payment gateway timed out.,Medium,In Progress,4
TIC000123,CUST000158,ORD000107,2026-05-08 07:55:30,Refund Issue,Refund is delayed.,Medium,Resolved,8
TIC000124,CUST000359,ORD000109,2026-05-07 08:04:14,Payment Issue,Payment failed during checkout.,Medium,Resolved,8
TIC000125,CUST000350,ORD000659,2026-05-15 10:48:27,Login Issue,Password reset email is not arriving.,Low,Open,2
TIC000126,CUST000138,ORD000641,2026-05-25 16:14:46,Refund Issue,Refund is delayed.,High,Open,48
TIC000127,CUST000004,ORD000016,2026-05-14 03:45:32,Delivery Issue,Tracking shows delivered but I did not receive the parcel.,Low,In Progress,24
TIC000128,CUST000050,ORD000314,2026-05-15 10:17:30,Login Issue,My account is locked after multiple attempts.,Critical,In Progress,24
TIC000129,CUST000436,ORD000772,2026-05-16 16:22:33,Delivery Issue,My order delivery is delayed.,Medium,Closed,24
TIC000130,CUST000036,ORD000702,2026-05-08 21:36:01,Refund Issue,Refund amount is incorrect.,Low,Resolved,48
TIC000131,CUST000318,ORD000485,2026-05-22 19:42:12,Wrong Item,The product code does not match my order.,Low,Resolved,12
TIC000132,CUST000043,ORD000123,2026-05-22 18:17:41,Product Quality Issue,The stitching came loose after first use.,High,Open,72
TIC000133,CUST000409,ORD000598,2026-05-04 16:57:00,Payment Issue,Payment failed during checkout.,Critical,In Progress,8
TIC000134,CUST000264,ORD000558,2026-05-29 04:00:49,Product Quality Issue,The product arrived damaged.,Medium,In Progress,72
TIC000135,CUST000459,ORD000929,2026-05-14 17:44:28,Login Issue,My account is locked after multiple attempts.,High,Closed,48
TIC000136,CUST000144,ORD000577,2026-05-28 17:56:43,Delivery Issue,My order delivery is delayed.,Medium,Resolved,2
TIC000137,CUST000186,ORD000694,2026-05-18 09:25:14,Payment Issue,Payment failed during checkout.,Medium,Open,12
TIC000138,CUST000225,ORD000826,2026-05-15 13:17:38,Refund Issue,Refund is delayed.,High,Closed,48
TIC000139,CUST000459,ORD000781,2026-05-09 16:06:48,Wrong Item,The color and size are different from what I ordered.,Low,In Progress,8
TIC000140,CUST000029,ORD000821,2026-05-25 06:12:13,Product Quality Issue,The stitching came loose after first use.,Medium,Closed,24
TIC000141,CUST000364,ORD000833,2026-05-20 10:23:09,Delivery Issue,Tracking shows delivered but I did not receive the parcel.,High,Closed,
TIC000142,CUST000383,ORD000009,2026-05-29 14:43:58,Refund Issue,Refund amount is incorrect.,High,Open,4
TIC000143,CUST000080,ORD000705,2026-05-21 07:49:23,Payment Issue,Payment gateway timed out.,Medium,In Progress,
TIC000144,CUST000498,ORD000936,2026-05-11 10:10:56,Payment Issue,Payment gateway timed out.,Critical,Resolved,4
TIC000145,CUST000138,ORD000641,2026-05-08 21:42:45,Delivery Issue,Tracking shows delivered but I did not receive the parcel.,Critical,In Progress,72
TIC000146,CUST000292,ORD001076,2026-05-07 00:08:01,Product Quality Issue,The product arrived damaged.,Medium,Open,2
TIC000147,CUST000276,ORD000183,2026-05-04 04:30:17,Delivery Issue,Carrier has not updated shipment status.,Critical,Resolved,48
TIC000148,CUST000457,ORD000268,2026-05-02 09:17:20,Payment Issue,Payment failed during checkout.,Low,In Progress,8
TIC000149,CUST000152,ORD000650,2026-05-26 09:49:39,Wrong Item,I received the wrong item.,Critical,In Progress,72
TIC000150,CUST000239,ORD001081,2026-05-12 02:09:04,Wrong Item,I received the wrong item.,High,In Progress,72
TIC000151,CUST000227,ORD000448,2026-05-15 19:18:39,Delivery Issue,Tracking shows delivered but I did not receive the parcel.,Low,Resolved,
TIC000152,CUST000379,ORD001083,2026-05-13 07:59:27,Payment Issue,Payment failed during checkout.,Medium,Closed,4
TIC000153,CUST000310,ORD000619,2026-05-16 17:31:33,Refund Issue,Refund is delayed.,High,Resolved,2
TIC000154,CUST000462,ORD000560,2026-05-09 03:06:19,Product Quality Issue,The item quality is poor.,Critical,Resolved,4
TIC000155,CUST000067,ORD001177,2026-05-30 20:49:10,Product Quality Issue,The item quality is poor.,Low,Resolved,48
TIC000156,CUST000241,ORD000519,2026-05-01 19:52:04,Product Quality Issue,The item quality is poor.,Low,Resolved,4
TIC000157,CUST000166,ORD000497,2026-05-07 04:28:41,Payment Issue,Payment gateway timed out.,Medium,Resolved,12
TIC000158,CUST000214,ORD001092,2026-05-23 22:34:34,Product Quality Issue,The stitching came loose after first use.,Low,Resolved,12
TIC000159,CUST000372,ORD000567,2026-05-25 16:16:07,Login Issue,My account is locked after multiple attempts.,Low,In Progress,8
TIC000160,CUST000144,ORD000128,2026-05-04 18:59:35,Refund Issue,Refund amount is incorrect.,Low,Closed,12
TIC000161,CUST000341,ORD001038,2026-05-11 17:06:00,Refund Issue,Refund is delayed.,Critical,Closed,48
TIC000162,CUST000141,ORD000240,2026-05-12 12:48:58,Refund Issue,Refund amount is incorrect.,High,In Progress,24
TIC000163,CUST000277,ORD001122,2026-05-08 14:41:24,Wrong Item,I received the wrong item.,High,Open,8
TIC000164,CUST000273,ORD000923,2026-05-03 05:14:31,Payment Issue,Payment gateway timed out.,Low,In Progress,48
TIC000165,CUST000275,ORD000978,2026-05-25 03:20:07,Login Issue,My account is locked after multiple attempts.,Medium,In Progress,12
TIC000166,CUST000481,ORD000178,2026-05-21 00:58:23,Delivery Issue,Carrier has not updated shipment status.,Low,Resolved,8
TIC000167,CUST000276,ORD001059,2026-05-03 16:55:23,Product Quality Issue,The stitching came loose after first use.,High,In Progress,4
TIC000168,CUST000025,ORD001036,2026-05-11 06:58:09,Login Issue,Password reset email is not arriving.,Medium,Open,48
TIC000169,CUST000310,ORD000523,2026-05-11 02:52:50,Refund Issue,Refund is delayed.,Low,In Progress,8
TIC000170,CUST000432,ORD000552,2026-05-29 23:14:22,Refund Issue,I returned the item but refund is not processed.,High,In Progress,
TIC000171,CUST000416,ORD000689,2026-05-15 22:09:03,Delivery Issue,Tracking shows delivered but I did not receive the parcel.,High,Closed,48
TIC000172,CUST000105,ORD000521,2026-05-04 01:41:32,Delivery Issue,Carrier has not updated shipment status.,High,Resolved,
TIC000173,CUST000133,ORD000788,2026-05-27 00:09:10,Refund Issue,Refund is delayed.,Low,In Progress,8
TIC000174,CUST000395,ORD001037,2026-05-13 03:58:28,Payment Issue,Payment failed during checkout.,Low,In Progress,48
TIC000175,CUST000400,ORD000892,2026-05-24 19:12:20,Login Issue,My account is locked after multiple attempts.,Critical,Closed,72
TIC000176,CUST000152,ORD000283,2026-05-08 21:36:23,Login Issue,I cannot login to my account.,High,Closed,4
TIC000177,CUST000428,ORD001164,2026-05-05 09:54:32,Refund Issue,I returned the item but refund is not processed.,Low,Resolved,12
TIC000178,CUST000212,ORD000347,2026-05-18 17:52:35,Login Issue,My account is locked after multiple attempts.,Medium,In Progress,48
TIC000179,CUST000292,ORD000850,2026-05-20 22:40:29,Product Quality Issue,The stitching came loose after first use.,Critical,In Progress,24
TIC000180,CUST000214,ORD000916,2026-05-10 22:27:11,Delivery Issue,My order delivery is delayed.,High,Closed,2
TIC000181,CUST000120,ORD000533,2026-05-26 08:35:08,Payment Issue,Payment gateway timed out.,Critical,Open,8
TIC000182,CUST000144,ORD000100,2026-05-17 14:43:49,Login Issue,I cannot login to my account.,Low,Closed,8
TIC000183,CUST000232,ORD000977,2026-05-12 00:43:38,Login Issue,Password reset email is not arriving.,Low,Open,24
TIC000184,CUST000351,ORD000723,2026-05-25 11:55:49,Delivery Issue,Carrier has not updated shipment status.,High,Resolved,12
TIC000185,CUST000207,ORD000180,2026-05-01 22:16:11,Product Quality Issue,The product arrived damaged.,High,Closed,12
TIC000186,CUST000493,ORD001155,2026-05-20 02:34:14,Product Quality Issue,The product arrived damaged.,Medium,Resolved,24
TIC000187,CUST000154,ORD000220,2026-05-22 03:51:34,Payment Issue,Payment gateway timed out.,Critical,Closed,8
TIC000188,CUST000354,ORD000810,2026-05-12 07:07:18,Product Quality Issue,The item quality is poor.,Critical,Closed,4
TIC000189,CUST000142,ORD000933,2026-05-29 18:57:03,Refund Issue,Refund amount is incorrect.,Critical,Resolved,24
TIC000190,CUST000228,ORD000141,2026-05-13 15:00:43,Wrong Item,The product code does not match my order.,Critical,Open,72
TIC000191,CUST000158,ORD000107,2026-05-15 13:03:51,Login Issue,My account is locked after multiple attempts.,Medium,In Progress,4
TIC000192,CUST000248,ORD001170,2026-05-04 01:53:16,Login Issue,Password reset email is not arriving.,Medium,In Progress,24
TIC000193,CUST000379,ORD001193,2026-05-25 17:10:25,Refund Issue,Refund amount is incorrect.,Low,In Progress,48
TIC000194,CUST000302,ORD000921,2026-05-14 15:34:04,Refund Issue,I returned the item but refund is not processed.,High,Open,12
TIC000195,CUST000442,ORD001145,2026-05-08 05:15:11,Wrong Item,The color and size are different from what I ordered.,Critical,Open,12
TIC000196,CUST000341,ORD001038,2026-05-20 19:38:28,Refund Issue,Refund amount is incorrect.,High,In Progress,24
TIC000197,CUST000125,ORD000251,2026-05-11 22:44:28,Delivery Issue,Tracking shows delivered but I did not receive the parcel.,Medium,In Progress,72
TIC000198,CUST000498,ORD000936,2026-05-30 07:40:14,Product Quality Issue,The item quality is poor.,Low,Open,
TIC000199,CUST000028,ORD000139,2026-05-02 03:03:19,Refund Issue,Refund is delayed.,Critical,In Progress,2
TIC000200,CUST000372,ORD000567,2026-05-10 03:11:13,Refund Issue,Refund is delayed.,Medium,Resolved,24
TIC000201,CUST000096,ORD000760,2026-05-27 11:44:33,Refund Issue,I returned the item but refund is not processed.,Critical,Open,
TIC000202,CUST000451,ORD000327,2026-05-30 22:08:54,Payment Issue,My card was charged but order was not created.,Low,Closed,8
TIC000203,CUST000468,ORD000600,2026-05-17 20:16:35,Wrong Item,The product code does not match my order.,Critical,Closed,
TIC000204,CUST000169,ORD000548,2026-05-18 13:19:45,Wrong Item,The color and size are different from what I ordered.,High,Closed,72
TIC000205,CUST000221,ORD000205,2026-05-17 12:04:47,Login Issue,Password reset email is not arriving.,Critical,In Progress,24
TIC000206,CUST000353,ORD000778,2026-05-09 12:16:24,Product Quality Issue,The stitching came loose after first use.,Medium,Closed,8
TIC000207,CUST000209,ORD001072,2026-05-05 07:51:19,Product Quality Issue,The stitching came loose after first use.,Critical,Resolved,72
TIC000208,CUST000392,ORD001032,2026-05-07 23:28:11,Product Quality Issue,The stitching came loose after first use.,High,Closed,48
TIC000209,CUST000190,ORD000487,2026-05-14 17:22:24,Product Quality Issue,The stitching came loose after first use.,Medium,In Progress,8
TIC000210,CUST000146,ORD000954,2026-05-29 09:43:37,Delivery Issue,Tracking shows delivered but I did not receive the parcel.,Critical,Resolved,2
TIC000211,CUST000041,ORD000288,2026-05-01 05:24:10,Login Issue,My account is locked after multiple attempts.,Low,In Progress,12
TIC000212,CUST000440,ORD000574,2026-05-15 14:50:23,Payment Issue,Payment failed during checkout.,Medium,Resolved,8
TIC000213,CUST000275,ORD000418,2026-05-24 12:03:14,Payment Issue,Payment gateway timed out.,Low,Resolved,48
TIC000214,CUST000292,ORD001076,2026-05-01 05:14:12,Payment Issue,Payment gateway timed out.,Critical,Closed,
TIC000215,CUST000115,ORD000085,2026-05-11 16:40:53,Refund Issue,Refund is delayed.,Critical,In Progress,72
TIC000216,CUST000438,ORD000188,2026-05-30 23:02:23,Wrong Item,The product code does not match my order.,Medium,In Progress,4
TIC000217,CUST000458,ORD000693,2026-05-21 05:35:33,Refund Issue,Refund is delayed.,Medium,Open,
TIC000218,CUST000020,ORD000714,2026-05-09 19:33:56,Delivery Issue,My order delivery is delayed.,Medium,Resolved,48
TIC000219,CUST000280,ORD000346,2026-05-05 18:21:37,Product Quality Issue,The item quality is poor.,Critical,In Progress,2
TIC000220,CUST000466,ORD000304,2026-05-02 08:44:57,Refund Issue,I returned the item but refund is not processed.,Low,Closed,2
TIC000221,CUST000007,ORD001163,2026-05-30 09:00:21,Delivery Issue,Tracking shows delivered but I did not receive the parcel.,Low,Resolved,2
TIC000222,CUST000275,ORD000458,2026-05-16 18:27:26,Payment Issue,My card was charged but order was not created.,Medium,In Progress,12
TIC000223,CUST000464,ORD000866,2026-05-18 17:22:07,Login Issue,Password reset email is not arriving.,Low,Resolved,8
TIC000224,CUST000284,ORD000319,2026-05-19 04:11:16,Refund Issue,I returned the item but refund is not processed.,Low,Closed,4
TIC000225,CUST000104,ORD001141,2026-05-29 15:53:13,Payment Issue,My card was charged but order was not created.,Critical,Resolved,24
TIC000226,CUST000492,ORD001103,2026-05-26 19:07:23,Login Issue,My account is locked after multiple attempts.,Low,Resolved,
TIC000227,CUST000178,ORD000657,2026-05-02 01:42:28,Login Issue,Password reset email is not arriving.,High,Open,4
TIC000228,CUST000154,ORD000573,2026-05-26 22:50:32,Wrong Item,I received the wrong item.,Low,Closed,48
TIC000229,CUST000205,ORD000839,2026-05-24 19:19:10,Wrong Item,I received the wrong item.,High,In Progress,8
TIC000230,CUST000437,ORD000511,2026-05-10 22:48:53,Wrong Item,I received the wrong item.,Critical,Closed,4
TIC000231,CUST000279,ORD001199,2026-05-14 06:57:02,Delivery Issue,Tracking shows delivered but I did not receive the parcel.,Critical,In Progress,
