OrderID,CustomerID,OrderDate,OrderStatus,SalesChannel,GrossAmount,DiscountAmount,NetAmount,Currency
ORD000042,CUST000127,2026-05-05 13:40:33,Returned,Website,919.87,0.0,919.87,EUR
ORD000043,CUST000106,2026-05-22 06:31:39,Completed,Website,277.58,13.88,263.7,EUR
ORD000044,CUST000380,2026-05-02 02:22:53,Completed,Mobile App,139.87,6.99,132.88,EUR
ORD000045,CUST000192,2026-05-08 06:26:10,Completed,Mobile App,179.61,8.98,170.63,EUR
ORD000046,CUST000163,2026-05-09 01:54:08,Shipped,Website,557.57,55.76,501.81,EUR
ORD000047,CUST000091,2026-05-07 15:02:14,Completed,Mobile App,86.36,12.95,73.41,EUR
ORD000048,CUST000236,2026-05-21 20:11:54,Shipped,Mobile App,34.66,1.73,32.93,EUR
ORD000049,CUST000315,2026-05-09 21:51:25,Completed,Website,675.97,101.4,574.57,EUR
ORD000050,CUST000274,2026-05-01 17:28:17,Completed,Website,731.98,0.0,731.98,EUR
ORD000051,CUST000017,2026-05-01 20:12:41,Completed,Mobile App,852.25,127.84,724.41,EUR
ORD000052,CUST000403,2026-05-04 15:43:30,Completed,Website,59.0,5.9,53.1,EUR
ORD000053,CUST000172,2026-05-17 15:50:52,Cancelled,Mobile App,103.83,0.0,103.83,EUR
ORD000054,CUST000070,2026-05-25 02:28:18,Completed,Website,579.92,57.99,521.93,EUR
ORD000055,CUST000346,2026-05-23 18:02:58,Cancelled,Website,545.55,0.0,545.55,EUR
ORD000056,CUST000370,2026-05-05 09:05:25,Completed,Mobile App,851.74,42.59,809.15,EUR
ORD000057,CUST000208,2026-05-07 00:30:52,Shipped,Mobile App,1896.54,284.48,1612.06,EUR
ORD000058,CUST000102,2026-05-02 21:08:49,Completed,Website,389.14,58.37,330.77,EUR
ORD000059,CUST000410,2026-05-22 20:31:14,Completed,Website,57.8,8.67,49.13,EUR
ORD000060,CUST000003,2026-05-03 08:06:35,Completed,Mobile App,248.96,37.34,211.62,EUR
ORD000061,CUST000493,2026-05-16 05:16:00,Completed,Mobile App,725.89,36.29,689.6,EUR
ORD000062,CUST000118,2026-05-24 11:24:48,Completed,Website,115.6,17.34,98.26,EUR
ORD000063,CUST000455,2026-05-24 03:25:59,Completed,Website,353.67,35.37,318.3,EUR
ORD000064,CUST000485,2026-05-21 10:25:10,Completed,Mobile App,751.24,75.12,676.12,EUR
ORD000065,CUST000300,2026-05-07 21:37:21,Completed,Website,315.09,15.75,299.34,EUR
ORD000066,CUST000122,2026-05-11 18:25:14,Returned,Mobile App,443.55,0.0,443.55,EUR
ORD000067,CUST000335,2026-05-10 12:20:45,Completed,Website,181.36,0.0,181.36,EUR
ORD000068,CUST000316,2026-05-24 12:00:11,Completed,Website,57.8,5.78,52.02,EUR
ORD000069,CUST000013,2026-05-01 11:15:00,Cancelled,Website,448.8,44.88,403.92,EUR
ORD000070,CUST000196,2026-05-09 12:11:14,Completed,Website,325.12,16.26,308.86,EUR
ORD000071,CUST000495,2026-05-05 15:50:50,Completed,Website,673.5,0.0,673.5,EUR
ORD000072,CUST000451,2026-05-12 23:52:08,Completed,Mobile App,878.31,87.83,790.48,EUR
ORD000073,CUST000351,2026-05-09 21:12:16,Returned,Website,858.88,128.83,730.05,EUR
ORD000074,CUST000086,2026-05-02 16:03:53,Completed,Website,469.68,23.48,446.2,EUR
ORD000075,CUST000381,2026-05-11 10:08:25,Completed,Website,822.53,82.25,740.28,EUR
ORD000076,CUST000061,2026-05-16 01:08:54,Shipped,Website,397.57,19.88,377.69,EUR
ORD000077,CUST000098,2026-05-17 14:18:52,Returned,Website,272.04,27.2,244.84,EUR
ORD000078,CUST000005,2026-05-03 10:54:13,Completed,Website,1573.43,236.01,1337.42,EUR
ORD000079,CUST000493,2026-05-09 14:35:08,Completed,Website,571.96,0.0,571.96,EUR
ORD000080,CUST000127,2026-05-02 10:33:35,Cancelled,Mobile App,999.53,0.0,999.53,EUR
ORD000081,CUST000337,2026-05-24 13:19:51,Completed,Mobile App,1172.04,0.0,1172.04,EUR
ORD000082,CUST000039,2026-05-23 10:21:58,Shipped,Mobile App,69.32,3.47,65.85,EUR
ORD000083,CUST000161,2026-05-14 10:31:59,Completed,Mobile App,299.74,29.97,269.77,EUR
ORD000084,CUST000184,2026-05-17 10:14:42,Shipped,Website,153.24,22.99,130.25,EUR
ORD000085,CUST000115,2026-05-13 11:37:45,Cancelled,Mobile App,340.35,0.0,340.35,EUR
ORD000086,CUST000350,2026-05-20 09:31:11,Cancelled,Mobile App,879.41,87.94,791.47,EUR
ORD000087,CUST000102,2026-05-19 01:38:21,Completed,Mobile App,658.73,0.0,658.73,EUR
ORD000088,CUST000390,2026-05-21 09:44:15,Shipped,Website,229.14,34.37,194.77,EUR
ORD000089,CUST000241,2026-05-23 08:10:03,Cancelled,Website,51.56,5.16,46.4,EUR
ORD000090,CUST000359,2026-05-06 23:30:20,Completed,Mobile App,419.64,62.95,356.69,EUR
ORD000091,CUST000055,2026-05-04 09:07:07,Completed,Website,281.81,14.09,267.72,EUR
ORD000092,CUST000191,2026-05-17 03:31:04,Returned,Mobile App,92.22,0.0,92.22,EUR
ORD000093,CUST000287,2026-05-01 16:47:32,Returned,Website,299.59,0.0,299.59,EUR
ORD000094,CUST000261,2026-05-24 19:26:58,Returned,Website,761.82,114.27,647.55,EUR
ORD000095,CUST000035,2026-05-23 00:36:44,Cancelled,Mobile App,7.73,0.77,6.96,EUR
ORD000096,CUST000343,2026-05-23 02:29:52,Cancelled,Website,1295.46,129.55,1165.91,EUR
ORD000097,CUST000098,2026-05-16 05:55:58,Completed,Website,590.58,59.06,531.52,EUR
ORD000098,CUST000374,2026-05-12 13:43:00,Completed,Mobile App,1440.77,216.12,1224.65,EUR
ORD000099,CUST000154,2026-05-14 09:45:23,Cancelled,Mobile App,1123.55,168.53,955.02,EUR
ORD000100,CUST000144,2026-05-25 18:13:10,Shipped,Mobile App,455.67,22.78,432.89,EUR
ORD000101,CUST000178,2026-05-24 01:20:38,Cancelled,Mobile App,918.24,0.0,918.24,EUR
ORD000102,CUST000131,2026-05-07 22:24:19,Completed,Website,1348.62,0.0,1348.62,EUR
ORD000103,CUST000158,2026-05-06 01:21:58,Completed,Mobile App,31.04,3.1,27.94,EUR
ORD000104,CUST000440,2026-05-19 08:31:37,Returned,Mobile App,878.55,0.0,878.55,EUR
ORD000105,CUST000309,2026-05-03 05:48:50,Shipped,Website,763.44,0.0,763.44,EUR
ORD000106,CUST000494,2026-05-03 15:43:38,Cancelled,Mobile App,776.96,0.0,776.96,EUR
ORD000107,CUST000158,2026-05-09 09:24:47,Returned,Website,390.92,0.0,390.92,EUR
ORD000108,CUST000262,2026-05-15 13:04:11,Shipped,Mobile App,96.44,14.47,81.97,EUR
ORD000109,CUST000359,2026-05-12 05:45:06,Cancelled,Mobile App,530.81,53.08,477.73,EUR
ORD000110,CUST000094,2026-05-01 14:56:10,Completed,Mobile App,168.21,8.41,159.8,EUR
ORD000111,CUST000298,2026-05-25 15:42:24,Completed,Mobile App,162.75,0.0,162.75,EUR
ORD000112,CUST000401,2026-05-05 21:41:44,Cancelled,Mobile App,904.92,135.74,769.18,EUR
ORD000113,CUST000446,2026-05-15 01:20:31,Completed,Mobile App,532.52,79.88,452.64,EUR
ORD000114,CUST000260,2026-05-12 18:13:47,Completed,Website,255.49,12.77,242.72,EUR
ORD000115,CUST000013,2026-05-21 03:10:13,Cancelled,Website,145.26,0.0,145.26,EUR
ORD000116,CUST000225,2026-05-18 20:33:26,Shipped,Website,351.91,17.6,334.31,EUR
ORD000117,CUST000237,2026-05-23 06:04:58,Completed,Website,158.43,7.92,150.51,EUR
ORD000118,CUST000191,2026-05-12 20:51:52,Shipped,Website,133.01,0.0,133.01,EUR
ORD000119,CUST000135,2026-05-07 00:55:02,Cancelled,Mobile App,877.28,0.0,877.28,EUR
ORD000120,CUST000497,2026-05-13 09:23:09,Completed,Website,1105.11,55.26,1049.85,EUR
ORD000121,CUST000259,2026-05-25 07:51:12,Completed,Website,731.22,36.56,694.66,EUR
ORD000122,CUST000033,2026-05-02 19:06:58,Completed,Mobile App,595.29,89.29,506.0,EUR
ORD000123,CUST000043,2026-05-14 09:52:59,Completed,Mobile App,457.16,45.72,411.44,EUR
ORD000124,CUST000349,2026-05-16 01:42:06,Cancelled,Website,111.24,16.69,94.55,EUR
ORD000125,CUST000127,2026-05-07 10:05:20,Completed,Mobile App,916.97,45.85,871.12,EUR
ORD000126,CUST000418,2026-05-14 04:21:02,Returned,Website,470.65,47.06,423.59,EUR
ORD000127,CUST000355,2026-05-02 02:37:43,Completed,Mobile App,787.42,78.74,708.68,EUR
ORD000128,CUST000144,2026-05-10 15:31:11,Cancelled,Mobile App,817.07,40.85,776.22,EUR
ORD000129,CUST000233,2026-05-21 22:57:46,Cancelled,Mobile App,768.91,38.45,730.46,EUR
ORD000130,CUST000220,2026-05-19 04:08:41,Cancelled,Website,1118.03,111.8,1006.23,EUR
ORD000131,CUST000155,2026-05-02 05:50:21,Completed,Website,542.03,0.0,542.03,EUR
ORD000132,CUST000471,2026-05-11 19:44:34,Completed,Mobile App,389.48,38.95,350.53,EUR
ORD000133,CUST000192,2026-05-16 07:17:42,Completed,Website,1090.67,163.6,927.07,EUR
ORD000134,CUST000329,2026-05-06 08:48:48,Completed,Mobile App,237.66,0.0,237.66,EUR
ORD000135,CUST000392,2026-05-12 21:39:52,Completed,Mobile App,1173.75,58.69,1115.06,EUR
ORD000136,CUST000393,2026-05-13 06:57:43,Completed,Mobile App,966.03,48.3,917.73,EUR
ORD000137,CUST000367,2026-05-02 17:29:11,Completed,Mobile App,138.44,13.84,124.6,EUR
ORD000138,CUST000142,2026-05-25 05:03:30,Cancelled,Mobile App,118.0,17.7,100.3,EUR
ORD000139,CUST000028,2026-05-02 15:04:49,Shipped,Mobile App,86.55,0.0,86.55,EUR
ORD000140,CUST000348,2026-05-12 14:07:44,Completed,Website,554.68,0.0,554.68,EUR
ORD000141,CUST000228,2026-05-09 11:05:57,Shipped,Mobile App,641.42,0.0,641.42,EUR
ORD000142,CUST000472,2026-05-16 17:08:34,Completed,Website,204.82,30.72,174.1,EUR
ORD000143,CUST000240,2026-05-05 03:10:43,Completed,Website,1281.76,128.18,1153.58,EUR
ORD000144,CUST000450,2026-05-15 07:36:47,Completed,Mobile App,32.29,1.61,30.68,EUR
ORD000145,CUST000256,2026-05-15 05:16:43,Cancelled,Website,1177.61,58.88,1118.73,EUR
ORD000146,CUST000317,2026-05-10 23:27:09,Completed,Mobile App,680.19,68.02,612.17,EUR
ORD000147,CUST000416,2026-05-08 17:28:15,Completed,Website,348.99,0.0,348.99,EUR
ORD000148,CUST000032,2026-05-13 05:01:11,Completed,Website,409.71,61.46,348.25,EUR
ORD000149,CUST000454,2026-05-04 09:50:05,Shipped,Mobile App,385.11,0.0,385.11,EUR
ORD000150,CUST000494,2026-05-04 11:22:38,Completed,Mobile App,810.31,121.55,688.76,EUR
ORD000151,CUST000085,2026-05-21 22:34:31,Completed,Website,349.55,0.0,349.55,EUR
ORD000152,CUST000389,2026-05-05 12:53:52,Completed,Mobile App,362.72,36.27,326.45,EUR
ORD000153,CUST000331,2026-05-08 04:18:14,Completed,Mobile App,169.69,8.48,161.21,EUR
ORD000154,CUST000157,2026-05-10 05:25:33,Cancelled,Mobile App,263.42,0.0,263.42,EUR
ORD000155,CUST000060,2026-05-15 17:34:53,Returned,Mobile App,889.21,0.0,889.21,EUR
ORD000156,CUST000306,2026-05-11 22:15:27,Cancelled,Website,596.44,0.0,596.44,EUR
ORD000157,CUST000316,2026-05-15 04:17:08,Cancelled,Website,624.46,62.45,562.01,EUR
ORD000158,CUST000463,2026-05-15 05:25:53,Cancelled,Website,231.2,23.12,208.08,EUR
ORD000159,CUST000342,2026-05-06 14:03:36,Cancelled,Mobile App,1059.31,158.9,900.41,EUR
ORD000160,CUST000080,2026-05-01 00:29:57,Cancelled,Mobile App,69.22,10.38,58.84,EUR
ORD000161,CUST000090,2026-05-04 22:54:27,Shipped,Website,670.78,0.0,670.78,EUR
ORD000162,CUST000186,2026-05-23 14:21:45,Shipped,Website,1033.8,0.0,1033.8,EUR
ORD000163,CUST000457,2026-05-23 05:07:24,Shipped,Website,262.94,39.44,223.5,EUR
ORD000164,CUST000352,2026-05-01 13:12:59,Completed,Website,188.99,18.9,170.09,EUR
ORD000165,CUST000328,2026-05-21 05:10:54,Cancelled,Mobile App,693.95,0.0,693.95,EUR
ORD000166,CUST000383,2026-05-17 04:11:56,Cancelled,Mobile App,665.05,0.0,665.05,EUR
ORD000167,CUST000108,2026-05-13 16:49:28,Shipped,Mobile App,68.16,10.22,57.94,EUR
ORD000168,CUST000131,2026-05-02 18:18:04,Completed,Website,211.95,31.79,180.16,EUR
ORD000169,CUST000279,2026-05-14 06:14:43,Completed,Mobile App,907.51,0.0,907.51,EUR
ORD000170,CUST000131,2026-05-11 08:58:52,Completed,Website,385.4,0.0,385.4,EUR
ORD000171,CUST000411,2026-05-21 21:32:30,Completed,Website,631.35,94.7,536.65,EUR
ORD000172,CUST000452,2026-05-03 01:51:57,Returned,Website,708.74,0.0,708.74,EUR
ORD000173,CUST000095,2026-05-09 02:15:05,Returned,Mobile App,155.77,7.79,147.98,EUR
ORD000174,CUST000424,2026-05-21 15:43:46,Completed,Website,627.06,94.06,533.0,EUR
ORD000175,CUST000333,2026-05-11 08:10:17,Completed,Mobile App,694.4,0.0,694.4,EUR
ORD000176,CUST000444,2026-05-23 12:47:35,Completed,Website,578.97,57.9,521.07,EUR
ORD000177,CUST000025,2026-05-25 00:14:01,Cancelled,Mobile App,523.24,26.16,497.08,EUR
ORD000178,CUST000481,2026-05-08 21:18:12,Returned,Website,581.21,0.0,581.21,EUR
ORD000179,CUST000281,2026-05-20 19:23:47,Completed,Mobile App,649.93,0.0,649.93,EUR
ORD000180,CUST000207,2026-05-20 05:21:55,Shipped,Mobile App,266.16,13.31,252.85,EUR
ORD000181,CUST000027,2026-05-14 01:17:52,Completed,Mobile App,925.48,92.55,832.93,EUR
ORD000182,CUST000470,2026-05-23 14:05:53,Cancelled,Website,112.77,0.0,112.77,EUR
ORD000183,CUST000276,2026-05-10 01:15:47,Completed,Mobile App,142.41,21.36,121.05,EUR
ORD000184,CUST000289,2026-05-03 16:43:14,Shipped,Mobile App,236.0,23.6,212.4,EUR
ORD000185,CUST000268,2026-05-24 01:43:34,Cancelled,Website,583.47,0.0,583.47,EUR
ORD000186,CUST000267,2026-05-12 21:24:32,Completed,Mobile App,298.81,14.94,283.87,EUR
ORD000187,CUST000137,2026-05-24 11:38:41,Returned,Mobile App,1002.67,150.4,852.27,EUR
ORD000188,CUST000438,2026-05-17 00:13:21,Completed,Mobile App,579.48,28.97,550.51,EUR
ORD000189,CUST000462,2026-05-06 14:18:34,Returned,Website,108.39,0.0,108.39,EUR
ORD000190,CUST000447,2026-05-01 15:11:12,Shipped,Website,693.69,104.05,589.64,EUR
ORD000191,CUST000035,2026-05-13 01:38:39,Shipped,Website,458.11,22.91,435.2,EUR
ORD000192,CUST000451,2026-05-08 01:49:39,Completed,Mobile App,506.76,0.0,506.76,EUR
ORD000193,CUST000479,2026-05-12 16:38:03,Shipped,Website,571.85,0.0,571.85,EUR
ORD000194,CUST000469,2026-05-19 10:41:53,Cancelled,Website,637.71,0.0,637.71,EUR
ORD000195,CUST000026,2026-05-24 04:20:02,Cancelled,Website,366.04,18.3,347.74,EUR
ORD000196,CUST000052,2026-05-15 02:32:10,Shipped,Mobile App,412.5,41.25,371.25,EUR
ORD000197,CUST000487,2026-05-10 18:15:07,Completed,Website,1051.44,0.0,1051.44,EUR
ORD000198,CUST000448,2026-05-21 10:01:41,Returned,Mobile App,232.75,0.0,232.75,EUR
ORD000199,CUST000156,2026-05-15 02:36:25,Completed,Website,111.81,11.18,100.63,EUR
ORD000200,CUST000025,2026-05-20 11:14:15,Completed,Website,164.51,24.68,139.83,EUR
ORD000201,CUST000051,2026-05-08 00:42:18,Returned,Website,106.95,0.0,106.95,EUR
ORD000202,CUST000192,2026-05-17 08:45:11,Shipped,Mobile App,90.68,0.0,90.68,EUR
ORD000203,CUST000380,2026-05-22 10:46:06,Cancelled,Mobile App,508.93,0.0,508.93,EUR
ORD000204,CUST000491,2026-05-15 11:54:05,Completed,Website,973.71,146.06,827.65,EUR
ORD000205,CUST000221,2026-05-16 07:21:33,Cancelled,Website,262.94,0.0,262.94,EUR
ORD000206,CUST000025,2026-05-10 09:42:16,Returned,Mobile App,285.96,42.89,243.07,EUR
ORD000207,CUST000089,2026-05-01 09:53:57,Shipped,Website,30.0,0.0,30.0,EUR
ORD000208,CUST000019,2026-05-15 02:17:20,Shipped,Website,1120.43,56.02,1064.41,EUR
ORD000209,CUST000281,2026-05-12 07:09:19,Completed,Website,754.16,75.42,678.74,EUR
ORD000210,CUST000294,2026-05-08 14:46:03,Completed,Mobile App,869.69,0.0,869.69,EUR
ORD000211,CUST000452,2026-05-11 14:41:12,Completed,Website,334.44,50.17,284.27,EUR
ORD000212,CUST000373,2026-05-06 16:49:36,Completed,Website,664.76,33.24,631.52,EUR
ORD000213,CUST000441,2026-05-02 02:45:21,Completed,Website,185.97,18.6,167.37,EUR
ORD000214,CUST000330,2026-05-15 07:47:13,Returned,Mobile App,29.1,2.91,26.19,EUR
ORD000215,CUST000360,2026-05-14 08:58:59,Completed,Mobile App,453.8,0.0,453.8,EUR
ORD000216,CUST000356,2026-05-18 07:19:40,Completed,Mobile App,263.1,39.47,223.63,EUR
ORD000217,CUST000401,2026-05-05 07:57:03,Completed,Mobile App,1846.38,92.32,1754.06,EUR
ORD000218,CUST000066,2026-05-13 16:28:38,Shipped,Mobile App,102.24,0.0,102.24,EUR
ORD000219,CUST000338,2026-05-14 12:53:40,Shipped,Website,925.12,138.77,786.35,EUR
ORD000220,CUST000154,2026-05-18 18:35:16,Completed,Website,789.62,78.96,710.66,EUR
ORD000221,CUST000365,2026-05-10 10:10:00,Returned,Mobile App,433.8,21.69,412.11,EUR
ORD000222,CUST000295,2026-05-20 23:31:28,Returned,Mobile App,499.08,74.86,424.22,EUR
ORD000223,CUST000016,2026-05-17 11:16:20,Shipped,Mobile App,988.95,148.34,840.61,EUR
ORD000224,CUST000423,2026-05-04 16:40:56,Completed,Mobile App,276.6,0.0,276.6,EUR
ORD000225,CUST000493,2026-05-16 19:17:48,Cancelled,Website,416.37,62.46,353.91,EUR
ORD000226,CUST000344,2026-05-12 03:56:49,Completed,Website,375.57,0.0,375.57,EUR
ORD000227,CUST000122,2026-05-13 19:10:32,Cancelled,Mobile App,1829.73,274.46,1555.27,EUR
ORD000228,CUST000170,2026-05-18 17:22:30,Completed,Mobile App,883.2,88.32,794.88,EUR
ORD000229,CUST000341,2026-05-05 20:35:26,Completed,Website,605.05,0.0,605.05,EUR
ORD000230,CUST000455,2026-05-22 04:39:20,Completed,Website,853.92,128.09,725.83,EUR
ORD000231,CUST000341,2026-05-10 03:06:55,Completed,Mobile App,1968.86,0.0,1968.86,EUR
ORD000232,CUST000143,2026-05-24 23:17:30,Completed,Mobile App,1162.21,0.0,1162.21,EUR
ORD000233,CUST000119,2026-05-10 02:51:41,Returned,Website,54.24,8.14,46.1,EUR
ORD000234,CUST000392,2026-05-18 21:26:00,Shipped,Website,799.35,0.0,799.35,EUR
ORD000235,CUST000330,2026-05-02 01:21:27,Cancelled,Website,1180.98,59.05,1121.93,EUR
ORD000236,CUST000028,2026-05-04 20:56:10,Cancelled,Mobile App,936.07,0.0,936.07,EUR
ORD000237,CUST000231,2026-05-13 10:56:40,Completed,Website,667.78,0.0,667.78,EUR
ORD000238,CUST000460,2026-05-11 07:58:28,Completed,Mobile App,408.05,0.0,408.05,EUR
ORD000239,CUST000497,2026-05-06 22:07:27,Returned,Mobile App,250.83,25.08,225.75,EUR
ORD000240,CUST000141,2026-05-20 22:33:25,Shipped,Website,790.81,118.62,672.19,EUR
ORD000241,CUST000207,2026-05-21 20:27:10,Shipped,Mobile App,1116.24,0.0,1116.24,EUR
ORD000242,CUST000487,2026-05-04 09:43:44,Completed,Mobile App,663.08,99.46,563.62,EUR
ORD000243,CUST000350,2026-05-21 21:13:20,Completed,Mobile App,308.32,30.83,277.49,EUR
ORD000244,CUST000356,2026-05-11 13:30:51,Cancelled,Website,743.4,74.34,669.06,EUR
ORD000245,CUST000353,2026-05-04 13:07:38,Shipped,Mobile App,1269.39,63.47,1205.92,EUR
ORD000246,CUST000123,2026-05-11 16:12:33,Completed,Mobile App,750.54,0.0,750.54,EUR
ORD000247,CUST000232,2026-05-15 20:36:00,Cancelled,Website,636.36,31.82,604.54,EUR
ORD000248,CUST000222,2026-05-02 03:19:43,Completed,Website,645.02,64.5,580.52,EUR
ORD000249,CUST000184,2026-05-21 10:58:53,Returned,Website,465.47,0.0,465.47,EUR
ORD000250,CUST000354,2026-05-15 03:46:53,Completed,Mobile App,1002.02,100.2,901.82,EUR
ORD000251,CUST000125,2026-05-11 07:25:03,Completed,Website,588.9,0.0,588.9,EUR
ORD000252,CUST000452,2026-05-10 06:18:53,Completed,Website,544.13,0.0,544.13,EUR
ORD000253,CUST000298,2026-05-22 16:56:32,Completed,Website,53.31,0.0,53.31,EUR
ORD000254,CUST000272,2026-05-08 16:20:27,Cancelled,Mobile App,1338.36,0.0,1338.36,EUR
ORD000255,CUST000486,2026-05-18 03:46:15,Completed,Website,390.5,19.53,370.97,EUR
ORD000256,CUST000077,2026-05-18 23:36:20,Returned,Mobile App,322.66,0.0,322.66,EUR
ORD000257,CUST000367,2026-05-20 12:51:14,Shipped,Website,1227.99,61.4,1166.59,EUR
ORD000258,CUST000465,2026-05-19 03:59:12,Completed,Website,510.33,51.03,459.3,EUR
ORD000259,CUST000397,2026-05-16 21:22:35,Shipped,Mobile App,456.53,22.83,433.7,EUR
ORD000260,CUST000466,2026-05-03 13:45:20,Shipped,Mobile App,174.67,26.2,148.47,EUR
ORD000261,CUST000181,2026-05-19 11:48:55,Shipped,Mobile App,429.95,43.0,386.95,EUR
ORD000262,CUST000095,2026-05-14 16:23:29,Completed,Website,758.4,0.0,758.4,EUR
ORD000263,CUST000025,2026-05-08 03:40:26,Completed,Website,441.73,22.09,419.64,EUR
ORD000264,CUST000083,2026-05-24 20:58:38,Completed,Mobile App,300.89,0.0,300.89,EUR
ORD000265,CUST000359,2026-05-20 12:14:07,Completed,Mobile App,657.95,65.8,592.15,EUR
ORD000266,CUST000123,2026-05-15 18:33:37,Completed,Mobile App,89.56,0.0,89.56,EUR
ORD000267,CUST000406,2026-05-02 12:35:44,Completed,Website,296.1,44.41,251.69,EUR
ORD000268,CUST000457,2026-05-18 10:52:57,Shipped,Mobile App,67.17,0.0,67.17,EUR
ORD000269,CUST000074,2026-05-07 22:40:58,Completed,Website,1052.5,0.0,1052.5,EUR
ORD000270,CUST000328,2026-05-14 12:10:04,Completed,Website,474.71,0.0,474.71,EUR
ORD000271,CUST000392,2026-05-17 22:46:26,Returned,Mobile App,553.66,27.68,525.98,EUR
ORD000272,CUST000009,2026-05-08 02:32:12,Completed,Mobile App,611.21,91.68,519.53,EUR
ORD000273,CUST000129,2026-05-17 22:28:20,Returned,Website,183.5,0.0,183.5,EUR
ORD000274,CUST000341,2026-05-24 10:10:04,Completed,Mobile App,58.2,2.91,55.29,EUR
ORD000275,CUST000359,2026-05-24 03:17:09,Shipped,Website,255.95,0.0,255.95,EUR
ORD000276,CUST000077,2026-05-18 01:31:21,Returned,Website,21.34,1.07,20.27,EUR
