ProductID,SKU,ProductName,Category,SubCategory,Brand,SupplierID,UnitCost,RetailPrice,Currency,IsActive
P0075,SKU-00075,AdlerFit Yoga Mat,Equipment,Yoga Mat,AdlerFit,SUP004,58.0,127.46,EUR,True
P0076,SKU-00076,NordRun Dumbbell Set,Equipment,Dumbbell Set,NordRun,SUP001,74.21,113.02,EUR,True
P0077,SKU-00077,PeakMotion Resistance Band,Equipment,Resistance Band,PeakMotion,SUP003,46.9,90.68,EUR,True
P0078,SKU-00078,NordRun Dumbbell Set,Equipment,Dumbbell Set,NordRun,SUP004,88.26,169.69,EUR,True
P0079,SKU-00079,NordRun Dumbbell Set,Equipment,Dumbbell Set,NordRun,SUP005,77.59,139.87,EUR,True
P0080,SKU-00080,PeakMotion Resistance Band,Equipment,Resistance Band,PeakMotion,SUP006,31.57,46.24,EUR,True
P0081,SKU-00081,AdlerFit Kids T-Shirt,Kidswear,Kids T-Shirt,AdlerFit,SUP008,33.97,59.0,EUR,True
P0082,SKU-00082,PeakMotion Kids Shoes,Kidswear,Kids Shoes,PeakMotion,SUP006,17.43,44.76,EUR,True
P0083,SKU-00083,AdlerFit Kids T-Shirt,Kidswear,Kids T-Shirt,AdlerFit,SUP002,16.79,25.24,EUR,True
P0084,SKU-00084,AdlerFit Kids T-Shirt,Kidswear,Kids T-Shirt,AdlerFit,SUP004,47.75,105.27,EUR,True
P0085,SKU-00085,NordRun Kids Shoes,Kidswear,Kids Shoes,NordRun,SUP001,36.62,78.24,EUR,True
P0086,SKU-00086,UrbanAthlete Kids Shoes,Kidswear,Kids Shoes,UrbanAthlete,SUP001,14.61,31.04,EUR,True
P0087,SKU-00087,PeakMotion Kids Shoes,Kidswear,Kids Shoes,PeakMotion,SUP007,58.9,83.61,EUR,True
P0088,SKU-00088,PeakMotion Kids Hoodie,Kidswear,Kids Hoodie,PeakMotion,SUP006,61.85,149.11,EUR,True
P0089,SKU-00089,EuroSport Kids T-Shirt,Kidswear,Kids T-Shirt,EuroSport,SUP006,20.06,32.38,EUR,True
P0090,SKU-00090,PeakMotion Kids Hoodie,Kidswear,Kids Hoodie,PeakMotion,SUP008,60.41,155.64,EUR,True
P0091,SKU-00091,PeakMotion Kids T-Shirt,Kidswear,Kids T-Shirt,PeakMotion,SUP006,16.05,38.31,EUR,True
P0092,SKU-00092,NordRun Kids Hoodie,Kidswear,Kids Hoodie,NordRun,SUP002,61.06,133.23,EUR,True
P0093,SKU-00093,UrbanAthlete Kids T-Shirt,Kidswear,Kids T-Shirt,UrbanAthlete,SUP005,19.19,30.0,EUR,True
P0094,SKU-00094,AdlerFit Kids Shoes,Kidswear,Kids Shoes,AdlerFit,SUP004,88.95,188.21,EUR,True
P0095,SKU-00095,PeakMotion Kids Shoes,Kidswear,Kids Shoes,PeakMotion,SUP002,28.45,41.13,EUR,True
P0096,SKU-00096,UrbanAthlete Kids T-Shirt,Kidswear,Kids T-Shirt,UrbanAthlete,SUP004,28.9,69.19,EUR,True
P0097,SKU-00097,AdlerFit Kids Shoes,Kidswear,Kids Shoes,AdlerFit,SUP004,85.94,156.58,EUR,True
P0098,SKU-00098,UrbanAthlete Kids T-Shirt,Kidswear,Kids T-Shirt,UrbanAthlete,SUP003,71.12,133.13,EUR,True
P0099,SKU-00099,UrbanAthlete Kids T-Shirt,Kidswear,Kids T-Shirt,UrbanAthlete,SUP006,76.83,138.6,EUR,True
P0100,SKU-00100,EuroSport Kids Hoodie,Kidswear,Kids Hoodie,EuroSport,SUP007,23.89,54.24,EUR,True
,SKU-BAD-001,Invalid Missing Product,,Unknown,Unknown,SUP999,-20,10,USD,True
